"subcol","ann_prod_anom"
"b10",-0.00476136523793902
"b12",0.101943326353386
"b23",-0.0609001694941117
"b24",-0.131254721424677
"b25",0.107229584988305
"b26",-0.00399154003377356
"b33",-0.254494918099939
"c19_1",0.0816878897759562
"c24",0.00567324023504984
"c30-31",0.0768408659780295
"c37",0.0449917427856916
"c40",-0.0466841246270061
"c46",0.0513895333889725
"c51",0.137315925749326
"c6",-0.128222626259364
"d1",0.0135879842165314
"d11",-0.177232944605606
"d12",0.0196798347040331
"d16",-0.00152987190697385
"d22",-0.0383704908080216
"d24",0.0210563037402336
"d24_1",0.0863169827927059
"d24_2",-0.124461902404784
"d35",0.0869804392966793
"d47-48",0.0736369468171043
"d70",0.0762063325459907
"d9",-0.286756754105606
"d9-11",-0.143287043379124
"f23",0.0564938608742506
"f37",-0.0599774441178549
"f5",-0.0342595773363056
"fbeach",0.089466110114778
"fbeach_2",-0.0133507912936728
"g2",-0.123714531742523
"g23",0.151042994698822
"g32",0.0523238810826276
"g35",0.0720627959860783
"g43",0.0914037866896431
"g46",0.0128272334983717
"g54",0.170354917198595
"g58",0.0160227970272628
"hk1",-0.195545502717229
"l13",-0.0129883823614457
"l17",-0.0401703681232677
"l19",0.181012944485951
"l23_1",-0.224391274501628
"l23_2",-0.267050004501628
"m11",0.0743515599826334
"m12",0.0714476182441039
"m14",0.0280995633461617
"m14a",-0.0485986050654893
"m15",-0.0187503638061915
"m15-17",0.0329262125708452
"m16-22",0.0491728833355175
"m18",-0.00325550721762944
"m19",0.0543660582942441
"m1a",-0.0673389527248534
"m20",-0.0251465948778433
"m21",-0.0166861987752418
"m21-24",-0.0542212512879114
"m22a",0.0739001560685125
"m23",-0.00605746779201975
"m24",-0.00181121671457639
"m25",0.0135036764648464
"m26",0.0449307729967058
"m27",-0.0177164048747578
"m28",-0.014127185954516
"m29",-0.0634222589300849
"m30",-0.058325790795921
"m31",-0.0469877711484321
"m32",-0.00252063604036293
"m33-34-35",-0.0485207104173374
"m38",-0.00590857163403511
"m39",0.00554614062123382
"m4",0.0295313241418711
"m40",-0.133731911311937
"m5",0.0728469786194291
"m6",-0.0105378372717342
"m6a",-0.0584822672226166
"m7",-0.00622150561105199
"m9-10",0.0231821700990136
"mis",-0.0554082555003361
"n10",0.0916251893839095
"n11",0.190196617955338
"n12",-0.0276874243961669
"n22",0.0184658685459907
"n28",-0.105179015025438
"p21",0.0568880816874264
"p22",0.0467363557055789
"p22-23",0.0552545330132532
"p24",-0.0762039245718673
"p33",-0.125557509231679
"p39",0.0650236543384431
"p40_1",-0.12837481061609
"p42",0.0998114220490112
"p44",-0.0352937036056061
"p44_1",-0.0749928375849182
"p44_2",-0.022619721887581
"p55",0.12087739662579
"p6",0.00929071814028948
"p63",-0.0926989410677895
"qr132",-0.0574192593465879
"qr157",-0.0864166181056061
"qr20",-0.033657802723124
"qr65",0.0538808335062276
"s2-4",-0.0388432594280876
"s3",0.323452127219756
"s33",0.0835664618145784
"s38",-0.0203866736175704
"s39",0.0939584920776684
"s5",0.0478969598093592
"t16",0.0344728249987125
"t18",0.107851604478249
"t5",0.0556459794000272
"t7",0.0545305947893151
"wb",-0.0239807270473877
