subcol,zone_code,count,area,mean
"1a",1,18,72.00000000000,0.66666666667
"1c",2,3,12.00000000000,10.00000000000
"1b",3,1,4.00000000000,0.00000000000
"2",4,14,56.00000000000,0.14285714286
"3c",5,2,8.00000000000,0.00000000000
"4",6,4,16.00000000000,0.00000000000
"14a-b",7,4,16.00000000000,0.00000000000
"5",8,10,40.00000000000,0.00000000000
"6",9,28,112.00000000000,0.00000000000
"23",10,7,28.00000000000,0.00000000000
"21",11,63,252.00000000000,0.00000000000
"9s",12,6,24.00000000000,0.00000000000
"9n",13,13,52.00000000000,0.00000000000
"10n",14,2,8.00000000000,0.00000000000
"",15,4,16.00000000000,0.00000000000
"19",16,7,28.00000000000,0.00000000000
"wb2",17,6,24.00000000000,0.00000000000
"10s",18,35,140.00000000000,0.00000000000
"11-12",19,150,600.00000000000,0.00000000000
"20a",20,1,4.00000000000,2.00000000000
"20b",21,31,124.00000000000,0.00000000000
"13",22,1,4.00000000000,0.00000000000
"3a",23,6,24.00000000000,0.00000000000
"3b",24,3,12.00000000000,0.00000000000
